Date,Zipau Page Likes,Share Price
05/06/2021,69403,6.970
06/06/2021,69414,6.970
07/06/2021,69426,6.880
08/06/2021,69440,6.830
09/06/2021,69455,6.820
10/06/2021,69466,6.870
11/06/2021,69474,7.150
12/06/2021,69480,7.150
13/06/2021,69469,7.150
14/06/2021,69467,7.150
15/06/2021,69473,7.280
16/06/2021,69493,7.250
17/06/2021,69509,7.410
18/06/2021,69544,8.140
21/06/2021,69581,8.130
22/06/2021,69596,8.030
23/06/2021,69601,8.590
24/06/2021,69626,8.640
25/06/2021,69616,8.260
28/06/2021,69662,7.870
29/06/2021,69683,7.730
30/06/2021,69682,7.680
01/07/2021,69695,7.680
02/07/2021,69702,7.610
05/07/2021,69723,7.560
06/07/2021,69730,7.390
07/07/2021,69740,7.530
08/07/2021,69751,8.240
09/07/2021,69764,8.380
12/07/2021,69801,8.290
13/07/2021,69823,8.370
14/07/2021,69843,7.32
15/07/2021,69852,7.15
16/07/2021,69858,7.0
19/07/2021,69840,7.15
20/07/2021,69844,7.34
21/07/2021,69871,7.59
22/07/2021,69884,7.17
23/07/2021,69898,7.22
26/07/2021,69956,6.94
27/07/2021,69984,6.84
28/07/2021,69999,6.63
29/07/2021,69999,6.88
30/07/2021,70016,6.8
02/08/2021,70050,7.11
03/08/2021,70091,7.66
04/08/2021,70134,7.89
05/08/2021,70156,7.78
06/08/2021,70169,7.78
09/08/2021,70227,7.65
10/08/2021,70233,7.99
11/08/2021,70248,7.86
12/08/2021,70252,7.92
13/08/2021,70265,7.83
16/08/2021,70275,7.65
17/08/2021,74014,7.3
18/08/2021,74030,7.23
19/08/2021,74061,7.21
20/08/2021,74076,7.09
23/08/2021,74121,7.15
24/08/2021,74138,7.26
25/08/2021,74151,7.24
26/08/2021,74181,7.12
27/08/2021,74201,6.96
30/08/2021,74014,6.91
31/08/2021,74033,6.85
01/09/2021,74040,6.82
02/09/2021,74056,6.89
03/09/2021,74061,6.79
06/09/2021,74087,6.93
07/09/2021,74103,7.0
08/09/2021,74110,6.85
09/09/2021,74127,6.83
10/09/2021,74144,6.89
13/09/2021,74153,6.76
14/09/2021,74169,6.84
