Date,Coles Page Likes,Share Price
27/09/2021,1346980,17.12
28/09/2021,1346967,16.75
29/09/2021,1346969,16.47
30/09/2021,1346954,16.87
01/10/2021,1346965,16.91
04/10/2021,1346900,16.96
05/10/2021,1346906,16.88
06/10/2021,1346855,16.98
07/10/2021,1346798,17.04
08/10/2021,1346773,17.02
11/10/2021,1346758,16.93
12/10/2021,1346748,17.05
13/10/2021,1346702,17.3
14/10/2021,1346670,17.43
15/10/2021,1346660,17.53
18/10/2021,1346621,17.65
19/10/2021,1346591,17.81
20/10/2021,1346549,17.92
21/10/2021,1346520,17.77
22/10/2021,1346502,17.95
25/10/2021,1346419,18.0
26/10/2021,1346410,17.61
27/10/2021,1346382,17.16
28/10/2021,1346367,17.52
29/10/2021,1346356,17.3
01/11/2021,1346336,17.38
02/11/2021,1346325,17.2
03/11/2021,1346323,17.52
04/11/2021,1346297,17.61
05/11/2021,1346281,17.75
08/11/2021,1346219,17.66
09/11/2021,1346220,17.68
10/11/2021,1346222,17.64
11/11/2021,1346311,17.51
12/11/2021,1346324,18.09
15/11/2021,1346302,17.86
16/11/2021,1346304,17.85
17/11/2021,1346267,17.92
18/11/2021,1346245,18.07
22/11/2021,1346221,18.05
24/11/2021,1346246,18.15
25/11/2021,1346251,18.01
26/11/2021,1346242,18.07
13/12/2021,1346060,17.87
14/12/2021,1346075,17.23
15/12/2021,1346067,17.52
16/12/2021,1346033,17.41
17/12/2021,1346032,17.49
20/12/2021,1346080,17.57
21/12/2021,1346082,17.89
22/12/2021,1346084,17.62
23/12/2021,1346074,17.71
24/12/2021,1346073,17.73
27/12/2021,1346024,17.68
28/12/2021,1346028,17.68
29/12/2021,1346005,17.88
30/12/2021,1345955,17.96
31/12/2021,1345888,17.92
03/01/2022,1345879,17.94
04/01/2022,1345914,17.85
05/01/2022,1345899,17.8
06/01/2022,1345925,17.63
07/01/2022,1345958,17.43
10/01/2022,1345615,17.2
11/01/2022,1345581,16.73
12/01/2022,1345599,16.66
13/01/2022,1345609,16.42
14/01/2022,1345628,16.41
17/01/2022,1345626,16.41
18/01/2022,1345626,16.5
19/01/2022,1345636,16.54
20/01/2022,1345624,16.34
21/01/2022,1345623,16.29
