Date,Mineralresourceslimited Page Likes,Share Price
12/07/2021,3265,58.870
13/07/2021,3283,60.110
14/07/2021,3295,59.82
15/07/2021,3296,60.7
16/07/2021,3307,59.11
19/07/2021,3320,59.74
20/07/2021,3332,58.56
21/07/2021,3343,59.51
22/07/2021,3348,60.95
23/07/2021,3354,61.11
26/07/2021,3371,62.54
27/07/2021,3384,62.42
28/07/2021,3391,60.73
29/07/2021,3398,63.21
30/07/2021,3401,64.49
02/08/2021,3417,61.5
03/08/2021,3417,59.58
04/08/2021,3423,62.01
05/08/2021,3432,61.19
06/08/2021,3444,58.25
09/08/2021,3465,58.83
10/08/2021,3476,61.0
11/08/2021,3480,59.4
12/08/2021,3493,59.25
13/08/2021,3510,59.95
16/08/2021,3536,61.86
17/08/2021,3546,57.42
18/08/2021,3554,56.82
19/08/2021,3558,51.33
20/08/2021,3564,50.24
23/08/2021,3585,50.83
24/08/2021,3600,51.91
25/08/2021,3615,53.98
26/08/2021,3622,54.22
27/08/2021,3633,52.08
30/08/2021,3661,53.62
31/08/2021,3676,54.5
01/09/2021,3682,53.15
02/09/2021,3690,52.84
03/09/2021,3694,54.49
06/09/2021,3714,54.8
07/09/2021,3721,51.88
08/09/2021,3736,51.85
09/09/2021,3746,50.55
10/09/2021,3754,52.08
13/09/2021,3772,53.79
14/09/2021,3781,52.15
15/09/2021,3784,51.61
16/09/2021,3788,52.74
17/09/2021,3795,49.37
20/09/2021,3814,45.61
21/09/2021,3822,46.25
22/09/2021,3835,46.71
23/09/2021,3844,47.9
24/09/2021,3854,47.14
27/09/2021,3884,48.24
28/09/2021,3891,46.32
29/09/2021,3898,43.35
30/09/2021,3915,43.68
01/10/2021,3926,42.34
04/10/2021,3959,42.35
05/10/2021,3965,41.76
06/10/2021,3970,42.86
07/10/2021,3972,42.56
08/10/2021,3981,43.23
11/10/2021,4006,44.46
12/10/2021,4018,44.61
13/10/2021,4023,43.8
14/10/2021,4026,42.21
15/10/2021,4030,43.2
18/10/2021,4048,43.37
19/10/2021,4056,42.51
20/10/2021,4059,42.75
21/10/2021,4060,41.86
22/10/2021,4067,39.76
25/10/2021,4081,42.46
